cause_of_death,date,Date-month,Year ,dead,missing,dead_and_missing,location,latitude,longitude,,
shot by the police,2005-12-10T00:00:00Z,2005 -- 12,2005,0,0,1,"Kingston, Jamaica",17.992731,-76.792009,36.87916139,9.39456582
drowned,2006-05-12T00:00:00Z,2006 -- 5,2006,0,0,37,Barbados,13.193887,-59.543198,,
drowned,2009-07-14T00:00:00Z,2009 -- 7,2009,0,0,1,hierro,27.725499,-18.024301,,
stabbed,2009-07-13T00:00:00Z,2009 -- 7,2009,0,0,1,hierro,27.725499,-18.024301,,
unknown,2009-12-06T00:00:00Z,2009 -- 12,2009,0,0,2,hierro,27.725499,-18.024301,,
exposure,2008-11-10T00:00:00Z,2008 -- 11,2008,0,0,3,hierro,27.725499,-18.024301,,
died in a sewer,2007-09-11T00:00:00Z,2007 -- 9,2007,0,0,1,hierro,27.725499,-18.024301,,
drowned,2007-12-08T00:00:00Z,2007 -- 12,2007,0,0,1,hierro,27.725499,-18.024301,,
drowned,2007-11-28T00:00:00Z,2007 -- 11,2007,0,0,2,hierro,27.725499,-18.024301,,
drowned,2006-01-08T00:00:00Z,2006 -- 1,2006,0,0,3,hierro,27.725499,-18.024301,,
murdered,2005-03-30T00:00:00Z,2005 -- 3,2005,0,0,14,hierro,27.725499,-18.024301,,
drowned,2003-03-30T00:00:00Z,2003 -- 3,2003,0,0,13,hierro,27.725499,-18.024301,,
unknown,2006-12-19T00:00:00Z,2006 -- 12,2006,0,0,24,"Yoff, Mauritania",14.743417,-17.485433,,
unknown,2006-01-11T00:00:00Z,2006 -- 1,2006,0,0,50,yoff,14.743417,-17.485433,,
drowned,2007-12-09T00:00:00Z,2007 -- 12,2007,0,0,40,"Tonghor Yoff, Dakar",14.762683,-17.481736,,
drowned,2009-01-09T00:00:00Z,2009 -- 1,2009,4,0,4,dakar,14.764504,-17.366029,,
burns or suffocation,2007-08-11T00:00:00Z,2007 -- 8,2007,0,0,1,dakar,14.764504,-17.366029,,
hit by a truck,2006-02-11T00:00:00Z,2006 -- 2,2006,0,0,102,dakar,14.764504,-17.366029,,
hit by a car,2006-12-12T00:00:00Z,2006 -- 12,2006,0,0,1,Dakar,14.764504,-17.366029,,
drowned,2006-12-12T00:00:00Z,2006 -- 12,2006,0,0,3,dakar,14.764504,-17.366029,,
drowned,2006-11-07T00:00:00Z,2006 -- 11,2006,0,0,15,dakar,14.764504,-17.366029,,
drowned,2006-11-07T00:00:00Z,2006 -- 11,2006,0,0,3,dakar,14.764504,-17.366029,,
drowned,2006-01-07T00:00:00Z,2006 -- 1,2006,0,0,4,dakar,14.764504,-17.366029,,
drowned,2008-09-07T00:00:00Z,2008 -- 9,2008,0,0,1,gomera,28.103304,-17.219358,,
drowned,2008-07-24T00:00:00Z,2008 -- 7,2008,0,0,1,gomera,28.103304,-17.219358,,
illness,2008-07-10T00:00:00Z,2008 -- 7,2008,0,0,4,gomera,28.103304,-17.219358,,
unknown,2008-07-08T00:00:00Z,2008 -- 7,2008,0,0,1,gomera,28.103304,-17.219358,,
drowned,2008-11-06T00:00:00Z,2008 -- 11,2008,0,0,5,gomera,28.103304,-17.219358,,
bombed,2008-11-06T00:00:00Z,2008 -- 11,2008,0,0,11,gomera,28.103304,-17.219358,,
hit by a car,2008-10-28T00:00:00Z,2008 -- 10,2008,0,0,3,gomera,28.103304,-17.219358,,
killed,2008-10-28T00:00:00Z,2008 -- 10,2008,0,0,3,gomera,28.103304,-17.219358,,
drowned,2009-04-17T00:00:00Z,2009 -- 4,2009,0,0,1,nuadibu,20.942518,-17.036227,,
unknown,2007-09-10T00:00:00Z,2007 -- 9,2007,0,0,5,nuadibu,20.942518,-17.036227,,
unknown,2007-04-22T00:00:00Z,2007 -- 4,2007,0,0,12,"Nouadhibou, Mauritania",20.942518,-17.036227,,
drowned,2007-02-12T00:00:00Z,2007 -- 2,2007,0,0,1,nouadhibou,20.942518,-17.036227,,
drowned,2007-11-09T00:00:00Z,2007 -- 11,2007,0,0,5,nouadhibou,20.942518,-17.036227,,
killed,2006-03-17T00:00:00Z,2006 -- 3,2006,0,0,3,nouadhibou,20.942518,-17.036227,,
hit by a car,2006-03-14T00:00:00Z,2006 -- 3,2006,0,0,26,nouadhibou,20.942518,-17.036227,,
unknown,2005-12-18T00:00:00Z,2005 -- 12,2005,0,0,30,nouadhibou,20.942518,-17.036227,,
bombed,2006-07-29T00:00:00Z,2006 -- 7,2006,0,0,2,"Los Cristianos, spain",28.05,-16.716667,,
shot,2009-08-28T00:00:00Z,2009 -- 8,2009,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2009-07-24T00:00:00Z,2009 -- 7,2009,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2009-02-01T00:00:00Z,2009 -- 2,2009,0,0,3,canary,28.291564,-16.62913,,
drowned,2008-09-09T00:00:00Z,2008 -- 9,2008,0,0,8,canary,28.291564,-16.62913,,
drowned,2008-08-08T00:00:00Z,2008 -- 8,2008,0,0,33,canary,28.291564,-16.62913,,
hit by a car,2008-08-03T00:00:00Z,2008 -- 8,2008,0,0,1,canaria,28.291564,-16.62913,,
drowned,2008-07-12T00:00:00Z,2008 -- 7,2008,0,0,11,canary,28.291564,-16.62913,,
drowned,2008-06-17T00:00:00Z,2008 -- 6,2008,0,0,4,tenerife,28.291564,-16.62913,,
drowned,2008-05-24T00:00:00Z,2008 -- 5,2008,0,0,3,canaria,28.291564,-16.62913,,
suicide,2008-05-02T00:00:00Z,2008 -- 5,2008,0,0,2,canary,28.291564,-16.62913,,
drowned,2008-03-04T00:00:00Z,2008 -- 3,2008,0,0,2,tenerife,28.291564,-16.62913,,
shot,2008-12-06T00:00:00Z,2008 -- 12,2008,0,0,1,canaria,28.291564,-16.62913,,
drowned,2008-11-30T00:00:00Z,2008 -- 11,2008,0,0,3,canary,28.291564,-16.62913,,
drowned,2008-11-18T00:00:00Z,2008 -- 11,2008,0,0,1,tenerife,28.291564,-16.62913,,
